train,January,February,March,April,May,June,July,August,September,October,November,December
Sunset Limited,66403,78189,84328,30511,22888,33913,56905,47842,55829,47361,37932,47379
Southwest Chief,87616,51812,105621,39579,32781,72616,186720,75387,97289,68963,61803,49955
Empire Builder,165611,102401,89069,39473,69054,83986,83062,90836,68808,88516,43862,19349
Coast Starlight,66748,46072,57662,39473,46018,36208,41394,40694,64506,27085,20740,19944
Empire Builder,17782,8826,5114,5386,6294,4695,6209,6948,7787,8487,3897,3314
City of New Orleans,10304,16643,17445,11369,26228,22332,15011,19927,10864,10400,23474,7744
California Zephyr,106375,175593,113315,31463,49163,157507,169088,249617,105290,51290,33575,21976
Northeast Regional,52863,81177,39359,5284,11086,31019,36654,44939,37066,30646,31758,45064
Pacific Surfliner,125821,80031,66626,18718,26359,47890,41696,42604,25639,43491,44320,48301
Downeaster,10137,17676,10245,612,,6384,23216,21488,17143,24537,19887,16603
SanJoaquin,61985,76430,56359,24433,17356,24407,34559,27053,29230,42244,50398,47072
Crescent,120614,195996,199781,112252,56061,50601,75751,76382,68981,41768,76826,50802
Texas Eagle,109366,110977,173775,56370,46881,64261,108016,94032,99559,37946,29940,13646
Empire Service,31145,33285,23303,14090,16786,35690,40196,34166,34884,49342,38616,32410
Capitol Limited,35186,37736,26347,14878,22239,29904,42052,39298,39441,10523,21691,17835
Ethan Allen Express,3039,3627,1625,27,,2422,2972,3508,2100,2449,2116,2406
Lincoln Service,21894,24494,11764,8745,7797,7199,20087,10936,7373,7954,8829,6612
Missouri River,30291,14292,16306,5376,2880,4797,4006,9991,9769,6923,3987,3901
Wolverine,76707,55763,26381,5716,4323,12689,8864,6551,7468,13698,11220,6599
Blue Water,14390,10253,6947,4100,2494,9436,3779,3439,3467,3398,3627,4558
Illinois Zephyr,7263,3813,2992,3210,2621,2717,5989,1306,3499,2641,2763,5447
Saluki,10328,8322,9446,4732,2260,4414,5045,3342,3373,4104,2121,4405
Valley Flyer,4890,6045,2754,2687,755,4062,5115,4767,4638,2248,3631,5270
Amtrak Hartford,13138,10128,8612,3333,1527,4646,7258,12755,7153,6565,7297,9571
Lake Shore Limited,13837,21932,19498,8364,23125,28778,29059,28545,25423,22909,13074,13755
Cardinal,16176,35596,36721,14251,43457,40759,36442,17415,19398,23614,31888,45469
Amtrak Cascades,50779,41164,31626,9709,6980,9801,11491,8228,15845,14206,11038,8076
Auto Train,2545,5068,2191,1868,1181,1255,523,1466,1879,5267,1503,282
Capitol Corridor,98601,97713,80024,22625,17051,32604,40420,51099,52990,38008,48604,37352
Vermonter,15762,11605,10709,1010,948,5347,7664,4753,3461,3283,2775,2200
Maple Leaf,11452,14987,12686,3156,5125,8865,12324,9377,9495,8237,8649,7332
Carolinian,5506,14813,3951,421,639,11723,16897,6862,5607,5701,7658,7556
Heartland Flyer,6323,5905,5356,2724,3301,4810,5183,5045,5575,3910,5451,2764
Palmetto,19008,37057,25558,3700,12389,37351,61354,12484,31271,14877,9435,8234
Silver Star,66441,109549,35912,33841,39229,144832,72080,51200,39645,40228,67110,38111
Silver Meteor,32893,66137,49889,80905,54480,81228,78347,56603,36430,29823,28061,28831
